,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
C19orf77,0.513082,0.00E+00,0.00E+00,0.499641,0.526275
PRSS57,0.503943,0.00E+00,0.00E+00,0.490335,0.517305
IGLL1,0.466397,0.00E+00,0.00E+00,0.452135,0.480421
MPO,0.452515,0.00E+00,0.00E+00,0.438024,0.466772
PRTN3,0.435356,0.00E+00,0.00E+00,0.420592,0.44989
AZU1,0.433106,0.00E+00,0.00E+00,0.418307,0.447676
CTSG,0.429843,0.00E+00,0.00E+00,0.414993,0.444464
ELANE,0.425286,0.00E+00,0.00E+00,0.410366,0.439978
SPINK2,0.396991,0.00E+00,0.00E+00,0.381655,0.412108
RP11-620J15.3,0.389263,0.00E+00,0.00E+00,0.373819,0.404491
MS4A3,0.375355,0.00E+00,0.00E+00,0.359721,0.390778
STMN1,0.342933,0.00E+00,0.00E+00,0.326885,0.358783
KIAA0101,0.34254,0.00E+00,0.00E+00,0.326487,0.358395
NUCB2,0.33572,0.00E+00,0.00E+00,0.319585,0.35166
MYB,0.328747,5.40E-300,9.46E-298,0.31253,0.344772
PLAC8,0.286337,7.38E-224,9.70E-222,0.269658,0.302843
CST7,0.259971,4.96E-183,5.02E-181,0.243039,0.276745
MGST1,0.243523,6.28E-160,5.50E-158,0.226445,0.26045
RNASE3,0.231371,5.48E-144,4.12E-142,0.214192,0.248406
RNASE2,0.229334,2.08E-141,1.52E-139,0.21214,0.246387
KIAA0125,0.228141,6.57E-140,4.55E-138,0.210937,0.245204
CLEC11A,0.225644,8.44E-137,5.69E-135,0.20842,0.242728
UBE2C,0.22243,7.42E-133,4.88E-131,0.205181,0.239541
HMGB2,0.220078,5.21E-130,3.24E-128,0.20281,0.237208
C1orf228,0.220071,5.30E-130,3.24E-128,0.202804,0.237202
HSPB1,0.219523,2.41E-129,1.44E-127,0.202252,0.236658
SERPINB10,0.218296,7.06E-128,4.13E-126,0.201016,0.235441
TOP2A,0.216415,1.20E-125,6.72E-124,0.19912,0.233576
DUT,0.215714,8.04E-125,4.40E-123,0.198414,0.23288
CENPF,0.205577,3.24E-113,1.67E-111,0.188202,0.222823
HIST1H4C,0.204336,7.72E-112,3.76E-110,0.186953,0.221592
PTTG1,0.189897,1.75E-96,7.53E-95,0.172415,0.20726
MKI67,0.184102,1.14E-90,4.63E-89,0.166582,0.201505
RETN,0.175343,3.00E-82,1.11E-80,0.157769,0.192806
H2AFZ,0.169634,5.33E-77,1.92E-75,0.152026,0.187134
7SK-2,0.160993,2.08E-69,6.75E-68,0.143336,0.178547
HSPD1,0.160019,1.40E-68,4.49E-67,0.142357,0.17758
SELL,0.158101,5.80E-67,1.84E-65,0.140429,0.175673
GAPDH,0.156566,1.11E-65,3.42E-64,0.138885,0.174147
HSPA1B,0.155132,1.69E-64,5.16E-63,0.137443,0.172721
HSP90AA1,0.153939,1.59E-63,4.81E-62,0.136244,0.171536
HSPH1,0.152543,2.16E-62,6.37E-61,0.134841,0.170148
FAM101B,0.149617,4.67E-60,1.34E-58,0.1319,0.167239
RGL4,0.147287,3.13E-58,8.86E-57,0.129558,0.164922
EMB,0.145303,1.06E-56,2.95E-55,0.127564,0.162949
NFE2,0.143396,3.01E-55,8.16E-54,0.125647,0.161052
HSPA1A,0.137341,8.99E-51,2.27E-49,0.119564,0.15503
RPL36,0.13557,1.68E-49,4.08E-48,0.117785,0.153269
HSPE1,0.134504,9.59E-49,2.31E-47,0.116713,0.152207
DNAJB1,0.132609,2.05E-47,4.85E-46,0.114811,0.150323
BEX2,0.125379,1.60E-42,3.46E-41,0.107549,0.143129
TUBA1B,0.122325,1.54E-40,3.19E-39,0.104482,0.140089
AREGB,0.121358,6.38E-40,1.29E-38,0.103511,0.139126
CEBPE,0.121279,7.17E-40,1.44E-38,0.103431,0.139048
HIST1H1E,0.121132,8.87E-40,1.77E-38,0.103284,0.138902
ATP2A3,0.120752,1.55E-39,3.06E-38,0.102902,0.138523
FABP5,0.119443,1.03E-38,1.99E-37,0.101589,0.137221
RMRP,0.119272,1.32E-38,2.52E-37,0.101417,0.13705
SLPI,0.116196,1.03E-36,1.90E-35,0.098328,0.133988
MCTP2,0.115128,4.57E-36,8.35E-35,0.097257,0.132926
PADI4,0.1151,4.76E-36,8.60E-35,0.097228,0.132897
HNRNPH1,0.115097,4.78E-36,8.60E-35,0.097225,0.132894
KBTBD11,0.112565,1.53E-34,2.69E-33,0.094684,0.130374
HSP90AB1,0.112176,2.60E-34,4.50E-33,0.094293,0.129986
NKG7,0.111054,1.17E-33,2.01E-32,0.093167,0.12887
DNAJA4,0.109579,8.30E-33,1.38E-31,0.091687,0.127401
LBR,0.106777,3.18E-31,5.20E-30,0.088874,0.12461
PTPRCAP,0.10367,1.62E-29,2.55E-28,0.085757,0.121516
HOPX,0.100937,4.67E-28,7.22E-27,0.083015,0.118794
PRAM1,0.09366,2.30E-24,3.35E-23,0.075714,0.111545
HBB,0.092785,6.13E-24,8.72E-23,0.074837,0.110674
KIF23,0.091979,1.50E-23,2.12E-22,0.074029,0.109871
UBB,0.091282,3.23E-23,4.47E-22,0.073329,0.109176
